Feature,Coefficient,Class
Application mode_15,-0.24471826557350418,Enrolled
Application mode_16,0.2115513089932336,Enrolled
Application mode_17,-0.09991909081087386,Enrolled
Application mode_18,-0.47422893079173983,Enrolled
Application mode_26,-0.0019883950865696937,Enrolled
Application mode_27,-0.0011121798944881038,Enrolled
Application mode_39,-0.020845166858133965,Enrolled
Application mode_42,-0.3334834464080191,Enrolled
Application mode_43,0.39223639844637964,Enrolled
Application mode_44,0.5830192848394261,Enrolled
Application mode_51,-0.0256296780155673,Enrolled
Application mode_53,0.5440527537875491,Enrolled
Application mode_57,-0.2285792812614952,Enrolled
Course_33,0.46998134928833285,Enrolled
Course_171,-0.24070750633703072,Enrolled
Course_8014,-0.17265095094586508,Enrolled
Course_9003,-0.16041867583301678,Enrolled
Course_9070,0.19134411630901152,Enrolled
Course_9085,-0.0121126819612196,Enrolled
Course_9119,0.9990566770485909,Enrolled
Course_9130,-0.5882898073320977,Enrolled
Course_9147,0.29203957194719204,Enrolled
Course_9238,-0.45091444241561524,Enrolled
Course_9254,-0.2143748765056365,Enrolled
Course_9500,0.020241865941335126,Enrolled
Course_9556,-0.12483832956893881,Enrolled
Course_9670,-0.026172325161785786,Enrolled
Course_9773,-0.24194486396053794,Enrolled
Course_9853,0.05134217557614057,Enrolled
Course_9991,0.07417853046089418,Enrolled
Previous qualification_1,0.3988337477319148,Enrolled
Previous qualification_2,-0.14283181368212186,Enrolled
Previous qualification_3,-0.29251574307335554,Enrolled
Previous qualification_4,-0.3888583153644074,Enrolled
Previous qualification_5,-0.0010254499508225957,Enrolled
Previous qualification_6,0.060158350540584354,Enrolled
Previous qualification_9,-0.15884642041010466,Enrolled
Previous qualification_10,-0.014588319855302838,Enrolled
Previous qualification_12,0.12568119411379058,Enrolled
Previous qualification_14,-0.001412561358331879,Enrolled
Previous qualification_15,-0.041541215845146154,Enrolled
Previous qualification_19,-0.1423375159318103,Enrolled
Previous qualification_38,0.17347707355235184,Enrolled
Previous qualification_39,0.12773570602055836,Enrolled
Previous qualification_40,0.3670014950691118,Enrolled
Previous qualification_42,-0.0018107838292812563,Enrolled
Previous qualification_43,-0.20135960117786222,Enrolled
Nacionality_1,-0.24438493846586515,Enrolled
Nacionality_2,-0.108496767096788,Enrolled
Nacionality_6,0.5492861916101544,Enrolled
Nacionality_11,-0.25426163889647624,Enrolled
Nacionality_13,-0.031255631353739856,Enrolled
Nacionality_14,-0.13020681977352483,Enrolled
Nacionality_21,-0.32242908442639895,Enrolled
Nacionality_22,0.09945202051021879,Enrolled
